Date,,Zsolarpowerwall2_Generation,Zsolarpowerwall2_Consumption,Zsolarpowerwall2_Surplus,Xider_Generation,Xider_Consumption,Xider_Surplus,SR Solaredge_Generation,SR Solaredge_Consumption,SR Solaredge_Surplus,Shygar-A_Generation,Shygar-A_Consumption,Shygar-A__Surplus,Shanon Ranch Valia_Generation,Shanon Ranch Valia_Consumption,Shanon Ranch Valia_Surplus,SDN-Eagle200_Generation,SDN-Eagle200_Consumption,SDN-Eagle200_Surplus,Rust Ohlone_Generation,Rust Ohlone_Consumption,Rust Ohlone_Surplus,Portola Springs - Irvine CA_Generation,Portola Springs - Irvine CA_Consumption,Portola Springs - Irvine CA_Surplus,ParkCrest_A_Generation,ParkCrest_A_Consumption,ParkCrest_A_Surplus,nedriv PV_Generation,nedriv PV_Consumption,nedriv PV_Surplus,Barry's Grid_Generation,Barry's Grid_Consumption,Barry's Grid_Surplus,Chateau Rando_Generation,Chateau Rando_Consumption,Chateau Rando_Surplus,Chula Vista_Generation,Chula Vista_Consumption,Chula Vista_Surplus,Chez Bier_Generation,Chez Bier_Consumption,Chez Bier_Surplus,cwsm_Generation,cwsm_Consumption,cwsm_Surplus,dublin-hills_Generation,dublin-hills_Consumption,dublin-hills_Surplus,Hacienda de Gomez_Generation,Hacienda de Gomez_Consumption,Hacienda de Gomez_Surplus, Mt. Tiburon CA_Generation, Mt. Tiburon CA_Consumption, Mt. Tiburon CA_Surplus,Hadleigh of South Hills_Generation,Hadleigh of South Hills_Consumption,Hadleigh of South Hills_Surplus,Heitman House_Generation,Heitman House_Consumption,Heitman House_Surplus,Modesto (Village One)_Generation,Modesto (Village One)_Consumption,Modesto (Village One)_Surplus,Los Angeles Home_Generation,Los Angeles Home_Consumption,Los Angeles Home_Surplus,LN Home_Generation,LN Home_Consumption,LN Home_Surplus,HHG-Plano_Generation,HHG-Plano_Consumption,HHG-Plano_Surplus,Little Orchard Solar_Generation,Little Orchard Solar_Consumption,Little Orchard Solar_Surplus,JakePV_Generation,JakePV_Consumption,JakePV_Surplus,Koko wa Greenwood_Generation,Koko wa Greenwood_Consumption,Koko wa Greenwood_Surplus,Rendezvous Ridge_Generation,Rendezvous Ridge_Consumption,Rendezvous Ridge_Surplus,Rendezvous Totals_Generation,Rendezvous Totals_Consumption,Rendezvous Totals_Surplus,San_Diego_RP_Generation,San_Diego_RP_Consumption,San_Diego_RP_Surplus,Schaffer_Generation,Schaffer_Consumption,Schaffer_Surplus,SolarEdge24_Generation,SolarEdge24_Consumption,SolarEdge24_Surplus,Smiser Residence_Generation,Smiser Residence_Consumption,Smiser Residence_Surplus
31-12-2022,,7.844,28.313,-20.469,5.685,21.48,-15.795,6.248,34.772,-18.977,0.542,53.757,-53.215,1.678,34.947,-33.269,1.969,47.582,-45.613,1.218,33.823,-32.605,3.407,28.697,-25.29,4.129,23.904,-19.775,1.275,12.566,-11.291,7.525,26.612,19.087,7.901,26.086,-18.185,18.242,76.466,-58.224,27.42,61.599,-34.179,1.673,69.491,-67.818,1.174,1.174,0,7.881,11.558,-3.677,0.611,36.688,-36.077,6.623,39.162,-32.539,0.584,27.197,-26.613,2.551,40.422,-37.871,3.512,29.069,-25.557,7.849,19.569,-11.72,11.425,16.048,-4.623,1.997,20.935,-18.938,6.541,21.493,-14.952,7.668,39.51,-31.842,0,28.037,-28.037,0,28.037,-28.037,1.632,42.544,-40.912,4.386,46.79,-42.404,6.976,25.868,-18.892,5.519,24.886,-19.367
30-12-2022,,11.595,16.892,-5.297,5.101,13.263,-8.162,5.939,30.866,-22.704,4.333,27.686,-23.353,8.253,21.55,-13.297,11.094,44.358,-33.264,1.896,27.308,-25.412,5.268,50.269,-45.001,5.737,29.677,-23.94,0.758,11.815,-11.057,10.891,26.211,15.32,13.011,23.638,-10.627,19.748,78.638,-58.89,0.559,44.605,-44.046,3.18,35.636,-32.456,2.723,2.723,0,4.714,14.198,-9.484,1.205,37.697,-36.492,5.223,35.623,-30.4,0.563,31.552,-30.989,6.218,37.968,-31.75,6.791,25.726,-18.935,10.305,19.451,-9.146,7.733,21.742,-14.009,3.668,118.886,-115.218,4.503,20.475,-15.972,10.761,43.855,-33.094,1.77,24.553,-22.783,1.77,24.553,-22.783,2.098,36.534,-34.436,5.878,44.82,-38.942,7.844,29.888,-22.044,11.347,25.571,-14.224
29-12-2022,,10.482,17.24,-6.758,7.426,30.174,-22.748,8.741,32.436,-9.688,4.39,44.508,-40.118,3.645,49.443,-45.798,7.455,46.781,-39.326,5.178,24.37,-19.192,5.856,57.168,-51.312,8.301,29.729,-21.428,3.552,11.184,-7.632,12.41,30.045,17.635,8.892,26.795,-17.903,24.323,74.388,-50.065,0.525,23.669,-23.144,3.301,52.237,-48.936,18.631,8.272,10.359,8.383,13.162,-4.779,2.802,34.196,-31.394,3.672,33.971,-30.299,2.896,28.096,-25.2,6.714,32.351,-25.637,4.074,28.163,-24.089,9.756,19.417,-9.661,6.924,14.827,-7.903,6.342,74.449,-68.107,7.199,16.783,-9.584,12.029,39.62,-27.591,2.784,69.531,-66.747,2.784,69.531,-66.747,4.392,15.418,-11.026,6.48,50.298,-43.818,9.905,27.54,-17.635,8.907,24.275,-15.368
28-12-2022,,14.641,17.446,-2.805,11.118,24.05,-12.932,10.82,30.498,-17.566,19.223,47.23,-28.007,18.242,22.135,-3.893,23.832,43.213,-19.381,20.918,25.127,-4.209,11.803,37.382,-25.579,10.109,28.878,-18.769,6.829,11.779,-4.95,23.121,22.074,-1.047,16.436,24.707,-8.271,33.327,71.171,-37.844,2.775,26.041,-23.266,12.814,30.39,-17.576,1.893,27.936,-26.043,12.207,13.242,-1.035,21.412,38.47,-17.058,24.378,29.721,-5.343,9.506,22.237,-12.731,31.684,32.893,-1.209,18.787,24.395,-5.608,19.766,19.66,0.106,12.327,12.155,0.172,30.224,27.87,2.354,12.539,16.224,-3.685,26.287,45.883,-19.596,10.882,28.366,-17.484,10.882,28.366,-17.484,2.16,37.212,-35.052,10.759,38.831,-28.072,14.401,30.235,-15.834,17.911,21.665,-3.754
27-12-2022,,13.775,23.938,-10.163,10.224,17.123,-6.899,11.451,30.311,-23.412,3.4,85.412,-82.012,1.246,28.948,-27.702,1.517,49.281,-47.764,3.982,44.536,-40.554,6.664,19.45,-12.786,10.195,29.639,-19.444,1.136,8.797,-7.661,13.38,18.782,5.402,10.427,26.152,-15.725,30.619,107.452,-76.833,16.388,55.889,-39.501,2.839,70.17,-67.331,5.22,48.535,-43.315,14.276,11.349,2.927,3.021,59.176,-56.155,6.499,35.514,-29.015,0.787,22.414,-21.627,1.788,21.77,-19.982,6.425,20.64,-14.215,12.691,19.543,-6.852,13.467,17.526,-4.059,2.657,12.716,-10.059,11.066,14.312,-3.246,13.268,37.632,-24.364,0.962,30.35,-29.388,0.962,30.35,-29.388,10.941,18.765,-7.824,8.437,40.09,-31.653,16.561,28.767,-12.206,9.815,22.353,-12.538
26-12-2022,,19.881,21.295,-1.414,15.976,15.838,0.138,15.842,28.996,-29.134,3.085,48.598,-45.513,6.91,27.956,-21.046,9.946,55.731,-45.785,10.067,55.573,-45.506,21.46,42.814,-21.354,13.882,25.939,-12.057,7.352,6.022,1.33,22.988,23.062,0.074,17.997,26.882,-8.885,38.097,91.805,-53.708,1.817,24.021,-22.204,4.379,33.767,-29.388,19.793,39.254,-19.461,22.477,9.928,12.549,5.248,36.131,-30.883,14.791,36.429,-21.638,5.106,28.343,-23.237,8.475,48.615,-40.14,15.479,13.755,1.724,19.103,19.375,-0.272,8.476,12.793,-4.317,11.843,66.328,-54.485,17.963,13.355,4.608,26.767,48.933,-22.166,9.903,19.737,-9.834,9.903,19.737,-9.834,13.705,18.141,-4.436,14.181,42.722,-28.541,24.88,37.709,-12.829,17.369,17.892,-0.523
25-12-2022,,20.613,18.328,2.285,18.398,29.427,-11.029,20.65,34.417,-23.388,6.217,39.706,-33.489,6.446,27.052,-20.606,11.629,56.529,-44.9,21.37,32.544,-11.174,10.375,32.631,-22.256,14.58,34.444,-19.864,7.097,6.601,0.496,27.663,43.214,15.551,17.778,32.512,-14.734,38.483,90.065,-51.582,4.813,25.154,-20.341,14.942,34.093,-19.151,22.46,54.128,-31.668,23.495,8.275,15.22,13.036,36.743,-23.707,19.236,43.05,-23.814,9.98,22.031,-12.051,5.293,54.943,-49.65,20.922,14.189,6.733,21.772,21.486,0.286,13.297,18.691,-5.394,28.82,33.691,-4.871,20.073,18.425,1.648,34.765,51.875,-17.11,15.482,21.1,-5.618,15.482,21.1,-5.618,17.65,21.43,-3.78,12.064,39.742,-27.678,29.585,25.686,3.899,19.824,22.792,-2.968
24-12-2022,,22.834,27.837,-5.003,19.789,25.888,-6.099,22.081,38.212,-32.113,22.643,64.739,-42.096,7.011,46.589,-39.578,12.876,52.69,-39.814,23.108,45.748,-22.64,17.148,29.172,-12.024,15.651,26.483,-10.832,5.776,6.947,-1.171,25.727,33.771,8.044,18.693,33.5,-14.807,40.965,112.922,-71.957,16.809,47.563,-30.754,16.305,56.094,-39.789,20.92,52.099,-31.179,26.053,12.323,13.73,26.075,37.264,-11.189,24.549,35.723,-11.174,10.242,25.144,-14.902,22.299,54.734,-32.435,20.952,14.022,6.93,23.022,30.723,-7.701,13.165,16.3,-3.135,29.958,105.618,-75.66,21.865,20.277,1.588,37.087,46.186,-9.099,17.598,27.126,-9.528,17.598,27.126,-9.528,19.471,20.043,-0.572,14.424,50.126,-35.702,31.391,27.337,4.054,21.425,16.824,4.601
23-12-2022,,22.312,19.404,2.908,19.474,5.502,13.972,22.664,27.001,-40.973,19.572,28.942,-9.37,13.004,30.851,-17.847,21.057,50.941,-29.884,20.777,19.105,1.672,16.407,29.464,-13.057,15.486,24.783,-9.297,7.857,7.592,0.265,25.273,41.588,16.315,18.467,28.638,-10.171,40.507,89.603,-49.096,19.966,32.74,-12.774,15.941,64.109,-48.168,14.232,45.641,-31.409,25.937,11.023,14.914,20.915,61.058,-40.143,23.311,41.027,-17.716,9.798,44.292,-34.494,24.093,101.492,-77.399,19.867,15.261,4.606,22.898,31.687,-8.789,10.853,18.057,-7.204,30.424,60.737,-30.313,21.679,16.092,5.587,33.153,51.184,-18.031,10.868,24.311,-13.443,10.868,24.311,-13.443,17.097,21.364,-4.267,11.706,46.382,-34.676,30.918,32.993,-2.075,20.334,19.552,0.782
22-12-2022,,20.966,16.33,4.636,17.609,19.547,-1.938,18.999,25.089,-23.151,13.055,40.221,-27.166,9.97,55.777,-45.807,14.384,51.205,-36.821,16.34,41.499,-25.159,15.016,34.232,-19.216,0,18.444,-18.444,7.655,8.408,-0.753,27.378,22.069,-5.309,20.945,28.062,-7.117,39.382,97.549,-58.167,17.213,32.058,-14.845,13.412,62.016,-48.604,23.485,51.085,-27.6,15.057,8.463,6.594,12.208,36.47,-24.262,17.446,38.467,-21.021,4.872,30.153,-25.281,10.733,37.687,-26.954,16.216,14.131,2.085,21.742,30.321,-8.579,3.321,24.164,-20.843,22.654,101.06,-78.406,20.556,18.774,1.782,31.299,58.805,-27.506,4.893,21.324,-16.431,4.893,21.324,-16.431,17.501,22.722,-5.221,14.34,48.454,-34.114,29.052,25.834,3.218,19.274,24.041,-4.767
